rotor_step,raw_data,averaged,stdev
"[0, 0]","[-0.02699344 -0.0258937  -0.02609365 -0.02559378 -0.02659353 -0.02739334
 -0.02789322 -0.02769327 -0.02689346 -0.02749331 -0.02649356 -0.02699344
 -0.02699344 -0.02739334 -0.02709341 -0.02689346 -0.02759329 -0.02749331
 -0.02699344 -0.02649356 -0.02759329 -0.02749331 -0.02799319 -0.02819314
 -0.02769327 -0.02729336 -0.02599368 -0.02729336 -0.02719339 -0.02719339
 -0.02779324 -0.02799319 -0.02789322 -0.02619363 -0.02639358 -0.02899295
 -0.02849307 -0.02749331 -0.02739334 -0.02739334 -0.02739334 -0.02669351
 -0.02739334 -0.02809317 -0.02859305 -0.0295928  -0.0295928  -0.02789322]",-0.027378759114071727,0.0008364541520415687
"[500, 0]","[-0.03099246 -0.03039261 -0.02999271 -0.03039261 -0.03129239 -0.03059256
 -0.03139237 -0.03189224 -0.02979276 -0.02929288 -0.02949283 -0.02939285
 -0.02929288 -0.03029263 -0.03029263 -0.03039261 -0.03019266 -0.03039261
 -0.03149234 -0.03099246 -0.03039261 -0.02969278 -0.03039261 -0.02979276
 -0.0295928  -0.03039261 -0.03039261 -0.03149234 -0.03039261 -0.03049259
 -0.02969278 -0.03029263 -0.03039261 -0.02819314 -0.02889297 -0.02999271
 -0.03019266 -0.03129239 -0.03179227 -0.03119241 -0.03099246 -0.03179227
 -0.02969278 -0.0291929  -0.02979276 -0.03039261 -0.0295928  -0.03019266]",-0.030309296290700633,0.0007865034598957366
"[1000, 0]","[-0.02929288 -0.02929288 -0.02949283 -0.02969278 -0.02979276 -0.03119241
 -0.03049259 -0.03099246 -0.03119241 -0.03109244 -0.03069254 -0.03069254
 -0.03069254 -0.03139237 -0.03079251 -0.03119241 -0.03069254 -0.03069254
 -0.02999271 -0.03009268 -0.03049259 -0.03049259 -0.03129239 -0.03069254
 -0.03019266 -0.03059256 -0.03069254 -0.03179227 -0.03159232 -0.03069254
 -0.03019266 -0.02999271 -0.03079251 -0.03009268 -0.0295928  -0.02969278
 -0.03109244 -0.03199222 -0.03079251 -0.03129239 -0.03069254 -0.03069254
 -0.02999271 -0.02979276 -0.02969278 -0.02889297 -0.02889297 -0.02979276]",-0.03045717696659267,0.000717892508202738
"[1500, 0]","[-0.03029263 -0.02929288 -0.03029263 -0.03029263 -0.03099246 -0.03039261
 -0.0295928  -0.03019266 -0.02949283 -0.02899295 -0.0291929  -0.02989273
 -0.03009268 -0.02999271 -0.02939285 -0.02889297 -0.02999271 -0.03049259
 -0.02949283 -0.02889297 -0.03069254 -0.02999271 -0.02989273 -0.02999271
 -0.02989273 -0.03079251 -0.02989273 -0.03099246 -0.03079251 -0.03069254
 -0.03009268 -0.03019266 -0.03019266 -0.03009268 -0.03019266 -0.02929288
 -0.03009268 -0.03009268 -0.03069254 -0.03089249 -0.03139237 -0.03119241
 -0.02979276 -0.03029263 -0.02929288 -0.03029263 -0.03019266 -0.0291929 ]",-0.03006768843624741,0.0005961981402218503
"[2000, 0]","[-0.03129239 -0.03179227 -0.032892   -0.03129239 -0.03129239 -0.0320922
 -0.03139237 -0.03129239 -0.03129239 -0.03019266 -0.03039261 -0.03059256
 -0.03119241 -0.03279202 -0.03229215 -0.03139237 -0.03269205 -0.03279202
 -0.03159232 -0.03149234 -0.03159232 -0.03319193 -0.03419169 -0.03279202
 -0.03199222 -0.03069254 -0.02969278 -0.02949283 -0.03139237 -0.03159232
 -0.0320922  -0.03159232 -0.03169229 -0.03149234 -0.03159232 -0.03169229
 -0.03159232 -0.03149234 -0.03099246 -0.03229215 -0.03279202 -0.03259207
 -0.03169229 -0.03169229 -0.03129239 -0.03229215 -0.03099246 -0.03179227]",-0.03167354719092449,0.0008623578279252123
"[2500, 0]","[-0.032892   -0.03229215 -0.03089249 -0.03099246 -0.03149234 -0.03149234
 -0.03149234 -0.03139237 -0.03089249 -0.03229215 -0.03159232 -0.0320922
 -0.03229215 -0.03219217 -0.03239212 -0.03259207 -0.03199222 -0.03189224
 -0.03189224 -0.03199222 -0.03179227 -0.03189224 -0.03199222 -0.0324921
 -0.03149234 -0.03179227 -0.03129239 -0.03169229 -0.03169229 -0.03179227
 -0.03189224 -0.03179227 -0.03169229 -0.03169229 -0.03179227 -0.0324921
 -0.03269205 -0.03199222 -0.03089249 -0.03139237 -0.03299198 -0.03179227
 -0.0324921  -0.03199222 -0.03089249 -0.03099246 -0.03089249 -0.03069254]",-0.03179226815700531,0.0005536398902762244
"[3000, 0]","[-0.03109244 -0.03129239 -0.03179227 -0.03129239 -0.03009268 -0.02999271
 -0.03049259 -0.03099246 -0.03089249 -0.03099246 -0.03109244 -0.03109244
 -0.03099246 -0.03219217 -0.03109244 -0.03119241 -0.03189224 -0.03129239
 -0.03299198 -0.03239212 -0.03219217 -0.03159232 -0.03149234 -0.03139237
 -0.03059256 -0.03149234 -0.03149234 -0.03139237 -0.03039261 -0.03139237
 -0.03239212 -0.03189224 -0.03059256 -0.03139237 -0.03199222 -0.03099246
 -0.03069254 -0.03089249 -0.03129239 -0.03219217 -0.03139237 -0.03129239
 -0.03149234 -0.03199222 -0.0324921  -0.03199222 -0.03159232 -0.03149234]",-0.03138820004339019,0.0006186376920271489
"[3500, 0]","[-0.03199222 -0.0320922  -0.03319193 -0.03269205 -0.03139237 -0.03119241
 -0.03099246 -0.03179227 -0.03179227 -0.03199222 -0.03179227 -0.03099246
 -0.03049259 -0.03159232 -0.03159232 -0.03159232 -0.03279202 -0.03409171
 -0.03369181 -0.03199222 -0.03089249 -0.03109244 -0.03179227 -0.03069254
 -0.03179227 -0.03219217 -0.03119241 -0.03069254 -0.03239212 -0.03109244
 -0.03019266 -0.03049259 -0.03069254 -0.03079251 -0.03189224 -0.03239212
 -0.0324921  -0.03229215 -0.03169229 -0.03149234 -0.03169229 -0.03149234
 -0.03039261 -0.03029263 -0.03079251 -0.03139237 -0.03139237 -0.03059256]",-0.03158398577943444,0.0008443440054154216
"[4000, 0]","[-0.03129239 -0.0320922  -0.03129239 -0.03119241 -0.03119241 -0.03139237
 -0.03139237 -0.03129239 -0.03119241 -0.03129239 -0.03129239 -0.03129239
 -0.03189224 -0.03139237 -0.03089249 -0.03119241 -0.03119241 -0.03039261
 -0.03129239 -0.03129239 -0.03169229 -0.03259207 -0.03299198 -0.03159232
 -0.03049259 -0.03159232 -0.03089249 -0.03069254 -0.03129239 -0.03089249
 -0.03129239 -0.03189224 -0.03089249 -0.03119241 -0.03139237 -0.03189224
 -0.03089249 -0.03119241 -0.03119241 -0.03039261 -0.03109244 -0.03029263
 -0.03119241 -0.02979276 -0.03089249 -0.03089249 -0.03089249 -0.03019266]",-0.031206994239861768,0.0005555133728274137
