rotor_step,raw_data,averaged,stdev
"[0, 0]","[0.06518415 0.06438434 0.06448432 0.06458429 0.06438434 0.06418439
 0.06408442 0.06438434 0.06548408 0.06418439 0.06408442 0.06398444
 0.06418439 0.06438434 0.06418439 0.06408442 0.06428437 0.06408442
 0.06408442 0.06408442 0.06518415 0.06428437 0.06428437 0.06408442
 0.06438434 0.06428437 0.06308466 0.06418439 0.06418439 0.06518415
 0.06428437 0.06418439 0.06278473 0.0624848  0.06398444 0.06408442
 0.06298468 0.0653841  0.065784   0.06448432 0.06428437 0.06428437
 0.06438434 0.06548408 0.06448432 0.06438434 0.06418439 0.06448432]",0.06429894710890949,0.0006169629675459333
"[500, 0]","[ 0.06348456  0.06298468  0.06428437  0.06428437  0.06528413  0.06548408
  0.06448432  0.06438434  0.06448432  0.06548408  0.06778352  0.07188252
  0.07158259  0.07228243  0.07178254  0.0723824   0.07048286  0.06778352
  0.06418439  0.06108515  0.05538653  0.04988787  0.04188981  0.03539139
  0.02759329  0.02129482  0.01389662  0.00719825 -0.00119971 -0.00889784
 -0.01289686 -0.01869545 -0.02339431 -0.02799319 -0.03139237 -0.02999271
 -0.03029263 -0.03089249 -0.0320922  -0.03029263 -0.02629361 -0.02159475
 -0.01629604 -0.01039747 -0.00389905  0.00219947  0.00849793  0.01589613]",0.026218624712782912,0.039794848155660936
"[1000, 0]","[ 0.02349429  0.03089249  0.03829069  0.04608879  0.05178741  0.0579859
  0.06308466  0.06728364  0.07028291  0.07188252  0.07448189  0.07548165
  0.07408199  0.07178254  0.06788349  0.06418439  0.05908563  0.0542868
  0.04838823  0.04258964  0.0357913   0.02789322  0.01969521  0.01259694
  0.00489881 -0.00079981 -0.00709827 -0.01309681 -0.01869545 -0.02519387
 -0.02909292 -0.03149234  0.06898323  0.0686833   0.06888325  0.06898323
  0.06778352  0.06858332  0.06898323  0.0686833   0.0686833   0.06858332
  0.06878328  0.06878328  0.06858332  0.06848335  0.06888325  0.07078279]",0.04645537022103478,0.031896170800817684
"[1500, 0]","[0.07018293 0.06878328 0.0686833  0.06768354 0.06888325 0.06898323
 0.06888325 0.0686833  0.06858332 0.0686833  0.06888325 0.06888325
 0.07028291 0.06898323 0.06748359 0.06778352 0.06878328 0.06888325
 0.06878328 0.06858332 0.06878328 0.06878328 0.06848335 0.0686833
 0.06878328 0.06888325 0.06888325 0.0686833  0.06858332 0.06848335
 0.06888325 0.06858332 0.07308223 0.07328218 0.07428194 0.07298225
 0.07328218 0.07328218 0.0731822  0.0731822  0.07308223 0.07448189
 0.07338215 0.07328218 0.07338215 0.07508174 0.07508174 0.07478181]",0.0703953819659849,0.0024087389165349045
"[2000, 0]","[0.07488179 0.07498176 0.07368208 0.07368208 0.07248238 0.07368208
 0.07358211 0.07348213 0.07388204 0.07388204 0.07378206 0.07358211
 0.07348213 0.07368208 0.07348213 0.07348213 0.07378206 0.07358211
 0.07358211 0.07358211 0.07348213 0.07358211 0.07328218 0.07328218
 0.07338215 0.07458186 0.07378206 0.07358211 0.07338215 0.07328218
 0.07228243 0.07328218 0.07208247 0.07178254 0.07168257 0.07188252
 0.0719825  0.07188252 0.07188252 0.07178254 0.07208247 0.07228243
 0.0719825  0.07188252 0.07178254 0.07178254 0.07208247 0.07208247]",0.07304890422771375,0.0008973083645407619
"[2500, 0]","[0.0719825  0.07188252 0.07168257 0.07158259 0.07178254 0.07188252
 0.07178254 0.07178254 0.07188252 0.07178254 0.0719825  0.07208247
 0.07178254 0.0719825  0.0719825  0.07058284 0.07328218 0.07368208
 0.07228243 0.07078279 0.07028291 0.07178254 0.0719825  0.07178254
 0.07158259 0.0719825  0.07288228 0.07218245 0.07228243 0.07218245
 0.07208247 0.07178254 0.06468427 0.06368452 0.06328461 0.06318463
 0.06438434 0.06428437 0.06428437 0.06448432 0.06428437 0.06408442
 0.06338459 0.06428437 0.06438434 0.06418439 0.06448432 0.06458429]",0.06931647813568513,0.003717985722275381
"[3000, 0]","[0.06438434 0.06438434 0.06348456 0.06408442 0.06418439 0.06408442
 0.06418439 0.06428437 0.06448432 0.06458429 0.06428437 0.06418439
 0.06298468 0.06408442 0.06298468 0.06408442 0.06418439 0.06408442
 0.06388447 0.06388447 0.06518415 0.06528413 0.06418439 0.06418439
 0.06418439 0.06418439 0.06438434 0.06438434 0.06448432 0.06448432
 0.06448432 0.06438434 0.05068767 0.0505877  0.04988787 0.05088763
 0.05148748 0.05048772 0.0513875  0.05128753 0.0501878  0.05038775
 0.05118755 0.05268719 0.05118755 0.05108758 0.0501878  0.0509876 ]",0.05977504746988416,0.006288715574555283
"[3500, 0]","[0.05088763 0.05088763 0.05118755 0.04958794 0.0509876  0.05228728
 0.05128753 0.05128753 0.05028777 0.05118755 0.05128753 0.05118755
 0.05028777 0.04948797 0.0509876  0.05088763 0.05108758 0.05078765
 0.05088763 0.04988787 0.05008782 0.05178741 0.05158745 0.05268719
 0.05108758 0.04988787 0.04978789 0.05088763 0.05068767 0.05068767
 0.05078765 0.05078765 0.03399174 0.03299198 0.03369181 0.03479154
 0.03479154 0.03409171 0.03419169 0.03369181 0.03359183 0.03439164
 0.03439164 0.03359183 0.03439164 0.03439164 0.03529142 0.03389176]",0.04528273890415827,0.00790933950068081
"[4000, 0]","[0.03309195 0.03299198 0.03359183 0.03419169 0.03429166 0.03359183
 0.03339188 0.03469156 0.03419169 0.03429166 0.03419169 0.03429166
 0.03409171 0.03479154 0.03429166 0.03419169 0.03409171 0.03259207
 0.03319193 0.03339188 0.03409171 0.03309195 0.03399174 0.03399174
 0.03529142 0.03359183 0.03329191 0.03309195 0.03399174 0.03449161
 0.03389176 0.03409171 0.01609609 0.01589613 0.01549623 0.01539626
 0.01619606 0.01639601 0.01539626 0.01529628 0.01619606 0.01629604
 0.01579616 0.01549623 0.01499635 0.01459645 0.01459645 0.01539626]",0.027789076130526762,0.008640742149942643
