1126C18R
2024 Oct 15 17:14
Sample #, Measurement
1, 2.053E-1
2, 2.055E-1
3, 2.057E-1
4, 2.057E-1
5, 2.054E-1
6, 2.052E-1
7, 2.052E-1
8, 2.055E-1
9, 2.056E-1
10, 2.056E-1
11, 2.056E-1
12, 2.054E-1
13, 2.054E-1
14, 2.055E-1
15, 2.053E-1
16, 2.055E-1
17, 2.056E-1
18, 2.057E-1
19, 2.055E-1
20, 2.051E-1
21, 2.054E-1
22, 2.053E-1
23, 2.059E-1
24, 2.057E-1
25, 2.056E-1
26, 2.052E-1
27, 2.054E-1
28, 2.052E-1
29, 2.054E-1
30, 2.056E-1
31, 2.057E-1
32, 2.056E-1
33, 2.053E-1
34, 2.052E-1
35, 2.052E-1
36, 2.058E-1
37, 2.058E-1
38, 2.055E-1
39, 2.053E-1
40, 2.056E-1
41, 2.056E-1
42, 2.055E-1
43, 2.051E-1
44, 2.056E-1
45, 2.056E-1
46, 2.055E-1
47, 2.055E-1
48, 2.057E-1
49, 2.050E-1
50, 2.055E-1
51, 2.055E-1
52, 2.057E-1
53, 2.056E-1
54, 2.054E-1
55, 2.055E-1
56, 2.056E-1
57, 2.053E-1
58, 2.054E-1
59, 2.051E-1
60, 2.054E-1
61, 2.054E-1
62, 2.052E-1
63, 2.056E-1
64, 2.056E-1
65, 2.056E-1
66, 2.051E-1
67, 2.050E-1
68, 2.056E-1
69, 2.054E-1
70, 2.052E-1
71, 2.049E-1
72, 2.054E-1
73, 2.052E-1
74, 2.055E-1
75, 2.056E-1
76, 2.054E-1
77, 2.054E-1
78, 2.054E-1
79, 2.052E-1
80, 2.053E-1
81, 2.056E-1
82, 2.056E-1
83, 2.055E-1
84, 2.054E-1
85, 2.053E-1
86, 2.054E-1
87, 2.053E-1
88, 2.055E-1
89, 2.050E-1
90, 2.056E-1
91, 2.055E-1
92, 2.052E-1
93, 2.056E-1
94, 2.055E-1
95, 2.054E-1
96, 2.057E-1
97, 2.053E-1
98, 2.055E-1
99, 2.052E-1
100, 2.053E-1
101, 2.053E-1
102, 2.057E-1
103, 2.056E-1
104, 2.054E-1
105, 2.055E-1
106, 2.054E-1
107, 2.054E-1
108, 2.056E-1
109, 2.054E-1
110, 2.054E-1
111, 2.054E-1
112, 2.056E-1
113, 2.053E-1
114, 2.051E-1
115, 2.051E-1
116, 2.048E-1
117, 2.052E-1
118, 2.054E-1
119, 2.054E-1
120, 2.056E-1
121, 2.053E-1
122, 2.052E-1
123, 2.051E-1
124, 2.054E-1
125, 2.053E-1
126, 2.054E-1
127, 2.055E-1
128, 2.051E-1
129, 2.054E-1
130, 2.054E-1
131, 2.057E-1
132, 2.056E-1
133, 2.053E-1
134, 2.054E-1
135, 2.052E-1
136, 2.052E-1
137, 2.055E-1
138, 2.049E-1
139, 2.054E-1
140, 2.055E-1
141, 2.053E-1
142, 2.052E-1
143, 2.055E-1
144, 2.051E-1
145, 2.052E-1
146, 2.056E-1
147, 2.059E-1
148, 2.055E-1
149, 2.057E-1
150, 2.054E-1
151, 2.057E-1
152, 2.056E-1
153, 2.057E-1
154, 2.056E-1
155, 2.057E-1
156, 2.053E-1
157, 2.051E-1
158, 2.052E-1
159, 2.054E-1
160, 2.053E-1
161, 2.053E-1
162, 2.057E-1
163, 2.056E-1
164, 2.054E-1
165, 2.053E-1
166, 2.053E-1
167, 2.057E-1
168, 2.057E-1
169, 2.054E-1
170, 2.053E-1
171, 2.058E-1
172, 2.058E-1
173, 2.055E-1
174, 2.054E-1
175, 2.056E-1
176, 2.056E-1
177, 2.055E-1
178, 2.056E-1
179, 2.056E-1
180, 2.054E-1
181, 2.056E-1
182, 2.056E-1
183, 2.059E-1
184, 2.060E-1
185, 2.056E-1
186, 2.057E-1
187, 2.054E-1
188, 2.055E-1
189, 2.053E-1
190, 2.057E-1
191, 2.056E-1
192, 2.055E-1
193, 2.056E-1
194, 2.056E-1
195, 2.054E-1
196, 2.053E-1
197, 2.053E-1
198, 2.057E-1
199, 2.056E-1
200, 2.059E-1
201, 2.056E-1
202, 2.055E-1
203, 2.056E-1
204, 2.057E-1
205, 2.055E-1
206, 2.056E-1
207, 2.055E-1
208, 2.056E-1
209, 2.061E-1
210, 2.056E-1
211, 2.054E-1
212, 2.057E-1
213, 2.060E-1
214, 2.065E-1
215, 2.064E-1
216, 2.057E-1
217, 2.056E-1
218, 2.058E-1
219, 2.060E-1
220, 2.059E-1
221, 2.061E-1
222, 2.060E-1
223, 2.057E-1
224, 2.059E-1
225, 2.054E-1
226, 2.056E-1
227, 2.060E-1
228, 2.057E-1
229, 2.058E-1
230, 2.057E-1
231, 2.055E-1
232, 2.057E-1
233, 2.057E-1
234, 2.055E-1
235, 2.057E-1
236, 2.054E-1
237, 2.050E-1
238, 2.053E-1
239, 2.056E-1
240, 2.054E-1
241, 2.056E-1
242, 2.054E-1
243, 2.054E-1
244, 2.057E-1
245, 2.056E-1
246, 2.055E-1
247, 2.057E-1
248, 2.054E-1
249, 2.054E-1
250, 2.056E-1
251, 2.056E-1
252, 2.054E-1
253, 2.055E-1
254, 2.055E-1
255, 2.054E-1
256, 2.056E-1
257, 2.056E-1
258, 2.055E-1
