rotor_step,raw_data,averaged,stdev
"[0, 0]","[ 23.29433441  23.29433441  23.29433441  23.29433441  23.30433083
  23.30433083  23.30433083  23.37431335  23.95417404  24.74398041
  25.93369102  27.46331978  29.12291527  30.82250214  32.44210815
  33.83177185  35.02148056  35.90126801  63.28460693  -0.29992706
 -13.19678974  -9.99756813  -3.79907584   1.39965951   4.99878407
   7.19824934   8.09803009  14.66643238  13.95660496  11.00732231
   7.95806408   5.55864763   3.85906124   2.90929222   2.59936762
   2.78932142   3.52914143   4.66886425   6.18849468   7.97805929
  10.07754898  12.366992    14.79640102  17.32578468  19.86516762
  22.38455582  24.88394737  27.22337723]",16.24958900238077,13.740306835909967
"[500, 0]","[34.29166031 34.29166031 34.29166031 34.39163589 34.39163589 35.19144058
 34.99148941 34.59158707 34.59158707 34.59158707 34.69156265 34.59158707
 34.69156265 34.69156265 34.69156265 34.69156265 34.69156265 34.69156265
 34.69156265 34.69156265 34.69156265 34.69156265 34.69156265 34.69156265
 34.69156265 34.69156265 34.79153824 34.69156265 34.69156265 34.79153824
 34.79153824 34.79153824 34.79153824 34.79153824 34.79153824 34.79153824
 34.79153824 34.79153824 34.79153824 34.79153824 34.79153824 34.79153824
 34.79153824 34.79153824 34.79153824 34.79153824 34.79153824 34.89151382]",34.70614242553711,0.16196557048659818
"[1000, 0]","[36.39114761 36.39114761 36.4911232  36.39114761 36.39114761 36.39114761
 36.39114761 36.39114761 36.4911232  36.4911232  36.4911232  36.4911232
 36.4911232  36.4911232  36.4911232  36.4911232  36.4911232  36.59109879
 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879
 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879
 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879
 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879
 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879 36.59109879]",36.54111099243164,0.07358003895591743
"[1500, 0]","[35.99124527 35.99124527 35.99124527 35.99124527 35.99124527 35.99124527
 35.99124527 35.99124527 35.99124527 35.99124527 35.99124527 35.99124527
 35.99124527 35.99124527 35.99124527 35.99124527 35.89126968 35.89126968
 35.89126968 35.99124527 35.89126968 35.89126968 35.99124527 35.99124527
 35.99124527 35.99124527 35.99124527 35.89126968 35.99124527 35.99124527
 35.89126968 35.89126968 35.89126968 35.99124527 35.89126968 35.99124527
 35.99124527 35.89126968 35.89126968 35.89126968 35.89126968 35.89126968
 35.89126968 35.89126968 35.89126968 35.89126968 35.89126968 35.99124527]",35.949588775634766,0.049288628564031836
"[2000, 0]","[33.19192505 33.59183121 33.09194946 33.49185562 33.59183121 33.49185562
 33.49185562 33.49185562 33.49185562 33.49185562 33.49185562 33.49185562
 33.49185562 33.39187622 33.39187622 33.39187622 33.39187622 33.39187622
 33.39187622 33.39187622 33.39187622 33.39187622 33.39187622 33.39187622
 33.39187622 33.39187622 33.39187622 33.39187622 33.39187622 33.29190063
 33.39187622 33.39187622 33.29190063 33.39187622 33.29190063 33.29190063
 33.29190063 33.29190063 33.29190063 33.19192505 33.19192505 33.29190063
 33.29190063 33.29190063 33.29190063 33.29190063 33.29190063 33.29190063]",33.37104884783427,0.10195328041418626
"[2500, 0]","[28.69302177 28.89297295 28.69302177 28.59304619 28.69302177 28.89297295
 29.1928997  28.69302177 29.09292412 29.09292412 29.09292412 29.09292412
 29.09292412 29.09292412 29.09292412 29.09292412 28.99294853 28.99294853
 28.99294853 28.99294853 28.99294853 28.99294853 28.99294853 28.99294853
 28.89297295 28.89297295 28.89297295 28.4930687  28.79299736 28.89297295
 28.79299736 28.79299736 28.79299736 28.79299736 28.79299736 28.79299736
 28.79299736 28.79299736 28.79299736 28.79299736 28.79299736 28.79299736
 28.79299736 28.79299736 28.79299736 28.79299736 28.79299736 28.79299736]",28.878393133481342,0.14994901625879414
"[3000, 0]","[26.25361443 27.07341385 26.61352539 25.89370155 25.30384445 24.81396484
 24.44405365 24.15412521 23.92418098 23.63425064 23.61425591 23.59426117
 23.58426285 23.56426811 23.55426979 23.53427505 23.52427864 23.51428032
 23.51428032 23.49428558 23.48428726 23.47428894 23.47428894 23.46429253
 23.44429779 23.44429779 23.43429947 23.43429947 23.43429947 23.42430115
 23.41430473 23.40430641 23.40430641 23.40430641 23.40430641 23.40430641
 23.39431    23.39431    23.39431    23.39431    23.39431    23.39431
 23.39431    23.38431168 23.37431335 23.36431694 23.36431694 23.36431694]",23.815873503684998,0.8870067429077625
"[3500, 0]","[17.03585625 17.04585266 17.03585625 17.0658493  17.08584404 17.07584572
 17.08584404 17.08584404 17.07584572 17.08584404 17.05585098 17.08584404
 17.07584572 17.05585098 17.0658493  17.03585625 17.09584236 17.04585266
 17.2258091  17.20581436 17.18581963 17.18581963 17.1758213  17.15582657
 17.14583015 17.13583183 17.1158371  17.10583878 17.10583878 17.10583878
 17.09584236 17.09584236 17.08584404 17.07584572 17.0658493  17.0658493
 17.0658493  17.05585098 17.05585098 17.05585098 17.03585625 17.03585625
 17.03585625 17.02585793 17.02585793 17.02585793 17.02585793 17.02585793]",17.08334445953369,0.04963251540910756
"[4000, 0]","[10.85735893 10.87735367 10.88735199 10.8673563  10.8673563  10.89734936
 10.8673563  10.89734936 10.87735367 10.88735199 10.87735367 10.89734936
 10.87735367 10.85735893 10.89734936 10.85735893 10.87735367 10.8673563
 10.87735367 10.85735893 10.8673563  10.8673563  10.97733021 10.8373642
 10.8373642  10.94733715 10.94733715 10.93733978 10.91734409 10.90734673
 10.90734673 10.90734673 10.89734936 10.88735199 10.87735367 10.87735367
 10.8673563  10.8673563  10.8673563  10.8673563  10.85735893 10.85735893
 10.84736156 10.8373642  10.8373642  10.8373642  10.82736588 10.8373642 ]",10.87777062257131,0.03108092865345726
"[4500, 0]","[5.6086359  5.61863327 5.63862848 5.63862848 5.61863327 5.62863064
 5.61863327 5.63862848 5.64862585 5.62863064 5.63862848 5.64862585
 5.61863327 5.63862848 5.59863806 5.61863327 5.6086359  5.61863327
 5.62863064 5.62863064 5.59863806 5.59863806 5.59863806 5.55864763
 5.58864069 5.58864069 5.6086359  5.59863806 5.6586237  5.55864763
 5.54865026 5.56864548 5.62863064 5.62863064 5.62863064 5.62863064
 5.61863327 5.6086359  5.59863806 5.59863806 5.58864069 5.58864069
 5.58864069 5.58864069 5.58864069 5.58864069 5.58864069 5.58864069]",5.609468827644984,0.02455968108560295
