1126C18R
2024 Oct 15 17:08
Sample #, Measurement
1, 7.688E-2
2, 7.708E-2
3, 7.628E-2
4, 7.608E-2
5, 7.568E-2
6, 7.498E-2
7, 7.448E-2
8, 7.508E-2
9, 7.448E-2
10, 7.498E-2
11, 7.478E-2
12, 7.378E-2
13, 7.308E-2
14, 7.338E-2
15, 7.398E-2
16, 7.398E-2
17, 7.488E-2
18, 7.528E-2
19, 7.508E-2
20, 7.438E-2
21, 7.338E-2
22, 7.318E-2
23, 7.338E-2
24, 7.498E-2
25, 7.368E-2
26, 7.378E-2
27, 7.358E-2
28, 7.578E-2
29, 7.698E-2
30, 7.428E-2
31, 7.408E-2
32, 7.418E-2
33, 7.418E-2
34, 7.308E-2
35, 7.418E-2
36, 7.598E-2
37, 7.598E-2
38, 7.428E-2
39, 7.428E-2
40, 7.418E-2
41, 7.398E-2
42, 7.408E-2
43, 7.428E-2
44, 7.448E-2
45, 7.458E-2
46, 7.448E-2
47, 7.448E-2
48, 7.648E-2
49, 7.488E-2
50, 7.458E-2
51, 7.438E-2
52, 7.438E-2
53, 7.448E-2
54, 7.428E-2
55, 7.428E-2
56, 7.438E-2
57, 7.458E-2
58, 7.478E-2
59, 7.438E-2
60, 7.448E-2
61, 7.458E-2
62, 7.458E-2
63, 7.468E-2
64, 7.488E-2
65, 7.458E-2
66, 7.458E-2
67, 7.468E-2
68, 7.468E-2
69, 7.348E-2
70, 7.338E-2
71, 7.438E-2
72, 7.468E-2
73, 7.438E-2
74, 7.438E-2
75, 7.458E-2
76, 7.458E-2
77, 7.448E-2
78, 7.568E-2
79, 7.608E-2
80, 7.448E-2
81, 7.348E-2
82, 7.448E-2
83, 7.438E-2
84, 7.258E-2
85, 7.438E-2
86, 7.428E-2
87, 7.468E-2
88, 7.428E-2
89, 7.418E-2
90, 7.458E-2
91, 7.588E-2
92, 7.598E-2
93, 7.478E-2
94, 7.478E-2
95, 7.448E-2
96, 7.468E-2
97, 7.318E-2
98, 7.278E-2
99, 7.438E-2
100, 7.458E-2
101, 7.468E-2
102, 7.428E-2
103, 7.328E-2
104, 7.258E-2
105, 7.418E-2
106, 7.428E-2
107, 7.418E-2
108, 7.408E-2
109, 7.408E-2
110, 7.418E-2
111, 7.428E-2
112, 7.408E-2
113, 7.448E-2
114, 7.438E-2
115, 7.548E-2
116, 7.468E-2
117, 7.448E-2
118, 7.448E-2
119, 7.458E-2
120, 7.448E-2
121, 7.428E-2
122, 7.438E-2
123, 7.308E-2
124, 7.268E-2
125, 7.418E-2
126, 7.428E-2
127, 7.428E-2
128, 7.428E-2
129, 7.448E-2
130, 7.458E-2
131, 7.438E-2
132, 7.408E-2
133, 7.418E-2
134, 7.428E-2
135, 7.438E-2
136, 7.578E-2
137, 7.558E-2
138, 7.438E-2
139, 7.478E-2
140, 7.488E-2
141, 7.348E-2
142, 7.448E-2
143, 7.438E-2
144, 7.448E-2
145, 7.428E-2
146, 7.478E-2
147, 7.598E-2
148, 7.468E-2
149, 7.458E-2
150, 7.458E-2
151, 7.468E-2
152, 7.468E-2
153, 7.438E-2
154, 7.448E-2
155, 7.468E-2
156, 7.478E-2
157, 7.478E-2
158, 7.448E-2
159, 7.358E-2
160, 7.438E-2
161, 7.458E-2
162, 7.448E-2
163, 7.458E-2
164, 7.458E-2
165, 7.458E-2
166, 7.458E-2
167, 7.488E-2
168, 7.488E-2
169, 7.488E-2
170, 7.468E-2
171, 7.488E-2
172, 7.468E-2
173, 7.328E-2
174, 7.448E-2
175, 7.478E-2
176, 7.458E-2
177, 7.428E-2
178, 7.438E-2
179, 7.448E-2
180, 7.418E-2
181, 7.438E-2
182, 7.558E-2
183, 7.598E-2
184, 7.488E-2
185, 7.458E-2
186, 7.468E-2
187, 7.468E-2
188, 7.458E-2
189, 7.468E-2
190, 7.478E-2
191, 7.688E-2
192, 7.508E-2
193, 7.498E-2
194, 7.488E-2
195, 7.488E-2
196, 7.488E-2
197, 7.468E-2
198, 7.468E-2
199, 7.488E-2
200, 7.478E-2
201, 7.498E-2
202, 7.478E-2
203, 7.378E-2
204, 7.358E-2
205, 7.348E-2
206, 7.478E-2
207, 7.488E-2
208, 7.498E-2
209, 7.468E-2
210, 7.478E-2
211, 7.488E-2
212, 7.488E-2
213, 7.468E-2
214, 7.598E-2
215, 7.518E-2
216, 7.508E-2
217, 7.488E-2
218, 7.378E-2
219, 7.458E-2
220, 7.468E-2
221, 7.488E-2
222, 7.468E-2
223, 7.468E-2
224, 7.608E-2
225, 7.518E-2
226, 7.628E-2
227, 7.528E-2
228, 7.528E-2
229, 7.508E-2
230, 7.488E-2
231, 7.498E-2
232, 7.498E-2
233, 7.398E-2
234, 7.478E-2
235, 7.468E-2
236, 7.368E-2
237, 7.298E-2
238, 7.438E-2
239, 7.458E-2
240, 7.648E-2
241, 7.498E-2
242, 7.598E-2
243, 7.508E-2
244, 7.498E-2
245, 7.518E-2
246, 7.518E-2
247, 7.498E-2
248, 7.388E-2
249, 7.498E-2
250, 7.498E-2
251, 7.498E-2
252, 7.468E-2
253, 7.328E-2
254, 7.458E-2
255, 7.468E-2
256, 7.498E-2
257, 7.478E-2
258, 7.458E-2
259, 7.438E-2
260, 7.468E-2
261, 7.458E-2
262, 7.478E-2
263, 7.468E-2
264, 7.468E-2
265, 7.488E-2
266, 7.478E-2
267, 7.478E-2
268, 7.458E-2
269, 7.478E-2
270, 7.468E-2
271, 7.488E-2
272, 7.478E-2
273, 7.508E-2
274, 7.498E-2
275, 7.488E-2
276, 7.478E-2
277, 7.498E-2
278, 7.508E-2
279, 7.478E-2
280, 7.518E-2
281, 7.528E-2
282, 7.518E-2
283, 7.498E-2
284, 7.498E-2
285, 7.538E-2
286, 7.528E-2
287, 7.488E-2
288, 7.498E-2
289, 7.498E-2
290, 7.508E-2
291, 7.518E-2
292, 7.488E-2
293, 7.528E-2
294, 7.528E-2
295, 7.488E-2
296, 7.628E-2
297, 7.498E-2
298, 7.508E-2
299, 7.508E-2
300, 7.528E-2
301, 7.538E-2
302, 7.548E-2
303, 7.518E-2
304, 7.518E-2
305, 7.528E-2
306, 7.498E-2
307, 7.508E-2
308, 7.508E-2
309, 7.498E-2
310, 7.528E-2
311, 7.518E-2
312, 7.488E-2
313, 7.478E-2
314, 7.478E-2
315, 7.478E-2
316, 7.488E-2
317, 7.488E-2
318, 7.488E-2
319, 7.508E-2
320, 7.528E-2
321, 7.498E-2
322, 7.488E-2
323, 7.498E-2
324, 7.378E-2
325, 7.468E-2
326, 7.518E-2
327, 7.608E-2
328, 7.528E-2
329, 7.518E-2
330, 7.528E-2
331, 7.528E-2
332, 7.518E-2
333, 7.518E-2
334, 7.508E-2
335, 7.538E-2
336, 7.548E-2
337, 7.508E-2
338, 7.508E-2
339, 7.508E-2
340, 7.528E-2
341, 7.518E-2
342, 7.548E-2
343, 7.528E-2
344, 7.408E-2
345, 7.488E-2
346, 7.528E-2
347, 7.538E-2
348, 7.538E-2
349, 7.538E-2
350, 7.538E-2
351, 7.398E-2
352, 7.518E-2
353, 7.518E-2
354, 7.508E-2
355, 7.498E-2
356, 7.498E-2
357, 7.528E-2
358, 7.488E-2
359, 7.328E-2
360, 7.328E-2
361, 7.468E-2
362, 7.508E-2
363, 7.688E-2
364, 7.618E-2
365, 7.528E-2
366, 7.518E-2
367, 7.518E-2
368, 7.488E-2
369, 7.488E-2
370, 7.358E-2
371, 7.458E-2
372, 7.498E-2
373, 7.498E-2
374, 7.298E-2
375, 7.488E-2
376, 7.508E-2
377, 7.618E-2
378, 7.628E-2
379, 7.528E-2
