1126C18R
2024 Oct 15 17:51
Sample #, Measurement
1, 3.719E+1
2, 3.719E+1
3, 3.719E+1
4, 3.719E+1
5, 3.719E+1
6, 3.719E+1
7, 3.719E+1
8, 3.719E+1
9, 3.719E+1
10, 3.719E+1
11, 3.719E+1
12, 3.709E+1
13, 3.719E+1
14, 3.719E+1
15, 3.719E+1
16, 3.719E+1
17, 3.719E+1
18, 3.719E+1
19, 3.719E+1
20, 3.779E+1
21, 3.739E+1
22, 3.739E+1
23, 3.739E+1
24, 3.739E+1
25, 3.739E+1
26, 3.739E+1
27, 3.739E+1
28, 3.739E+1
29, 3.739E+1
30, 3.739E+1
31, 3.739E+1
32, 3.739E+1
33, 3.739E+1
34, 3.739E+1
35, 3.739E+1
36, 3.739E+1
37, 3.739E+1
38, 3.739E+1
39, 3.679E+1
40, 3.719E+1
41, 3.719E+1
42, 3.739E+1
43, 3.719E+1
44, 3.719E+1
45, 3.719E+1
46, 3.719E+1
47, 3.719E+1
48, 3.719E+1
49, 3.779E+1
50, 3.739E+1
51, 3.719E+1
52, 3.739E+1
53, 3.739E+1
54, 3.739E+1
55, 3.719E+1
56, 3.739E+1
57, 3.739E+1
58, 3.739E+1
59, 3.739E+1
60, 3.739E+1
61, 3.739E+1
62, 3.679E+1
63, 3.719E+1
64, 3.719E+1
65, 3.739E+1
66, 3.719E+1
67, 3.739E+1
68, 3.719E+1
69, 3.719E+1
70, 3.719E+1
71, 3.719E+1
72, 3.739E+1
73, 3.739E+1
74, 3.719E+1
75, 3.739E+1
76, 3.739E+1
77, 3.719E+1
78, 3.719E+1
79, 3.719E+1
80, 3.739E+1
81, 3.719E+1
82, 3.739E+1
83, 3.719E+1
84, 3.739E+1
85, 3.739E+1
86, 3.739E+1
87, 3.739E+1
88, 3.739E+1
89, 3.739E+1
90, 3.739E+1
91, 3.719E+1
92, 3.719E+1
93, 3.719E+1
94, 3.719E+1
95, 3.739E+1
96, 3.739E+1
97, 3.719E+1
98, 3.719E+1
99, 3.719E+1
100, 3.719E+1
101, 3.739E+1
102, 3.719E+1
103, 3.719E+1
104, 3.719E+1
105, 3.719E+1
106, 3.779E+1
107, 3.719E+1
108, 3.719E+1
109, 3.719E+1
110, 3.719E+1
111, 3.739E+1
112, 3.739E+1
113, 3.719E+1
114, 3.719E+1
115, 3.719E+1
116, 3.739E+1
117, 3.719E+1
118, 3.719E+1
119, 3.739E+1
120, 3.739E+1
121, 3.739E+1
122, 3.739E+1
123, 3.739E+1
124, 3.739E+1
125, 3.739E+1
126, 3.739E+1
127, 3.739E+1
128, 3.739E+1
129, 3.739E+1
130, 3.739E+1
131, 3.739E+1
132, 3.739E+1
133, 3.739E+1
134, 3.739E+1
135, 3.739E+1
136, 3.739E+1
137, 3.739E+1
138, 3.739E+1
139, 3.739E+1
140, 3.739E+1
141, 3.739E+1
142, 3.739E+1
143, 3.739E+1
144, 3.739E+1
145, 3.739E+1
146, 3.739E+1
147, 3.739E+1
148, 3.739E+1
149, 3.739E+1
150, 3.739E+1
151, 3.739E+1
152, 3.739E+1
153, 3.739E+1
154, 3.719E+1
155, 3.739E+1
156, 3.719E+1
157, 3.719E+1
158, 3.719E+1
159, 3.719E+1
160, 3.719E+1
161, 3.719E+1
162, 3.719E+1
163, 3.719E+1
164, 3.779E+1
165, 3.739E+1
166, 3.719E+1
167, 3.719E+1
168, 3.719E+1
169, 3.719E+1
170, 3.739E+1
171, 3.739E+1
172, 3.739E+1
173, 3.739E+1
174, 3.679E+1
175, 3.719E+1
176, 3.739E+1
177, 3.739E+1
178, 3.739E+1
179, 3.739E+1
180, 3.679E+1
181, 3.719E+1
182, 3.719E+1
183, 3.719E+1
184, 3.739E+1
185, 3.739E+1
186, 3.719E+1
187, 3.739E+1
188, 3.739E+1
189, 3.719E+1
190, 3.719E+1
191, 3.719E+1
192, 3.719E+1
193, 3.719E+1
194, 3.779E+1
195, 3.719E+1
196, 3.719E+1
197, 3.719E+1
198, 3.719E+1
199, 3.719E+1
200, 3.719E+1
201, 3.719E+1
202, 3.719E+1
203, 3.719E+1
204, 3.779E+1
205, 3.739E+1
206, 3.739E+1
207, 3.739E+1
208, 3.739E+1
209, 3.739E+1
210, 3.739E+1
211, 3.739E+1
212, 3.739E+1
213, 3.739E+1
214, 3.739E+1
215, 3.739E+1
216, 3.739E+1
217, 3.739E+1
218, 3.739E+1
219, 3.739E+1
220, 3.739E+1
221, 3.739E+1
222, 3.739E+1
223, 3.739E+1
224, 3.739E+1
225, 3.739E+1
226, 3.739E+1
227, 3.739E+1
228, 3.739E+1
229, 3.739E+1
230, 3.739E+1
231, 3.739E+1
232, 3.739E+1
233, 3.739E+1
234, 3.739E+1
235, 3.739E+1
236, 3.739E+1
237, 3.739E+1
238, 3.739E+1
239, 3.739E+1
240, 3.739E+1
241, 3.739E+1
242, 3.739E+1
243, 3.739E+1
244, 3.739E+1
245, 3.739E+1
246, 3.739E+1
247, 3.739E+1
248, 3.739E+1
249, 3.739E+1
250, 3.739E+1
251, 3.739E+1
252, 3.739E+1
253, 3.739E+1
254, 3.739E+1
255, 3.739E+1
256, 3.739E+1
257, 3.739E+1
258, 3.739E+1
259, 3.739E+1
260, 3.739E+1
261, 3.739E+1
262, 3.719E+1
263, 3.739E+1
264, 3.739E+1
265, 3.739E+1
266, 3.719E+1
267, 3.739E+1
268, 3.739E+1
269, 3.739E+1
270, 3.739E+1
271, 3.739E+1
272, 3.739E+1
273, 3.739E+1
274, 3.739E+1
275, 3.739E+1
276, 3.679E+1
277, 3.739E+1
278, 3.739E+1
279, 3.739E+1
280, 3.739E+1
281, 3.739E+1
282, 3.739E+1
283, 3.739E+1
284, 3.739E+1
285, 3.739E+1
286, 3.739E+1
287, 3.739E+1
288, 3.739E+1
289, 3.739E+1
290, 3.739E+1
291, 3.739E+1
292, 3.739E+1
293, 3.739E+1
294, 3.679E+1
295, 3.739E+1
296, 3.739E+1
297, 3.739E+1
298, 3.739E+1
299, 3.719E+1
300, 3.719E+1
301, 3.719E+1
302, 3.739E+1
303, 3.739E+1
304, 3.739E+1
305, 3.739E+1
306, 3.739E+1
307, 3.679E+1
308, 3.739E+1
309, 3.739E+1
310, 3.739E+1
311, 3.739E+1
312, 3.739E+1
313, 3.679E+1
314, 3.719E+1
315, 3.719E+1
316, 3.719E+1
317, 3.739E+1
318, 3.739E+1
319, 3.739E+1
320, 3.739E+1
321, 3.719E+1
322, 3.719E+1
323, 3.719E+1
324, 3.719E+1
325, 3.719E+1
326, 3.719E+1
327, 3.779E+1
328, 3.739E+1
329, 3.739E+1
330, 3.739E+1
331, 3.739E+1
332, 3.739E+1
333, 3.739E+1
334, 3.739E+1
335, 3.739E+1
336, 3.739E+1
337, 3.739E+1
338, 3.739E+1
339, 3.739E+1
340, 3.679E+1
341, 3.719E+1
342, 3.719E+1
343, 3.719E+1
344, 3.719E+1
345, 3.739E+1
346, 3.719E+1
347, 3.719E+1
348, 3.719E+1
349, 3.719E+1
350, 3.739E+1
351, 3.739E+1
352, 3.739E+1
353, 3.739E+1
354, 3.739E+1
355, 3.739E+1
356, 3.739E+1
357, 3.739E+1
358, 3.739E+1
359, 3.739E+1
360, 3.739E+1
361, 3.739E+1
362, 3.739E+1
363, 3.739E+1
364, 3.679E+1
365, 3.719E+1
366, 3.719E+1
367, 3.719E+1
368, 3.719E+1
369, 3.719E+1
370, 3.719E+1
371, 3.709E+1
372, 3.709E+1
373, 3.719E+1
374, 3.709E+1
375, 3.709E+1
376, 3.709E+1
377, 3.709E+1
378, 3.719E+1
379, 3.709E+1
380, 3.709E+1
381, 3.709E+1
382, 3.709E+1
383, 3.709E+1
384, 3.709E+1
385, 3.709E+1
386, 3.709E+1
387, 3.709E+1
388, 3.709E+1
389, 3.709E+1
390, 3.709E+1
391, 3.719E+1
392, 3.719E+1
393, 3.719E+1
394, 3.709E+1
395, 3.709E+1
396, 3.709E+1
397, 3.709E+1
398, 3.719E+1
399, 3.719E+1
400, 3.709E+1
401, 3.709E+1
402, 3.709E+1
403, 3.709E+1
404, 3.709E+1
405, 3.709E+1
406, 3.709E+1
407, 3.709E+1
408, 3.709E+1
409, 3.709E+1
410, 3.709E+1
411, 3.719E+1
412, 3.709E+1
413, 3.719E+1
414, 3.719E+1
415, 3.719E+1
416, 3.719E+1
417, 3.719E+1
418, 3.719E+1
419, 3.719E+1
420, 3.709E+1
421, 3.709E+1
422, 3.709E+1
423, 3.709E+1
424, 3.709E+1
425, 3.709E+1
426, 3.719E+1
427, 3.719E+1
428, 3.709E+1
429, 3.719E+1
430, 3.719E+1
431, 3.719E+1
432, 3.719E+1
433, 3.719E+1
434, 3.719E+1
435, 3.719E+1
436, 3.719E+1
437, 3.719E+1
438, 3.719E+1
439, 3.719E+1
440, 3.719E+1
441, 3.719E+1
442, 3.719E+1
443, 3.709E+1
444, 3.709E+1
445, 3.709E+1
446, 3.709E+1
447, 3.709E+1
448, 3.709E+1
449, 3.709E+1
450, 3.709E+1
451, 3.709E+1
452, 3.709E+1
453, 3.709E+1
454, 3.709E+1
455, 3.709E+1
456, 3.709E+1
457, 3.709E+1
458, 3.709E+1
459, 3.709E+1
460, 3.719E+1
461, 3.719E+1
462, 3.709E+1
463, 3.719E+1
464, 3.719E+1
465, 3.709E+1
466, 3.709E+1
467, 3.709E+1
468, 3.719E+1
469, 3.719E+1
470, 3.719E+1
471, 3.719E+1
472, 3.719E+1
473, 3.719E+1
474, 3.719E+1
475, 3.719E+1
476, 3.709E+1
477, 3.719E+1
478, 3.709E+1
479, 3.709E+1
480, 3.709E+1
481, 3.709E+1
482, 3.709E+1
483, 3.709E+1
484, 3.709E+1
485, 3.709E+1
486, 3.709E+1
487, 3.709E+1
488, 3.709E+1
489, 3.709E+1
490, 3.709E+1
491, 3.709E+1
492, 3.709E+1
493, 3.719E+1
494, 3.709E+1
495, 3.709E+1
496, 3.709E+1
497, 3.719E+1
498, 3.719E+1
499, 3.719E+1
500, 3.719E+1
501, 3.719E+1
502, 3.709E+1
503, 3.709E+1
504, 3.709E+1
505, 3.709E+1
506, 3.709E+1
507, 3.709E+1
508, 3.709E+1
509, 3.709E+1
510, 3.709E+1
511, 3.709E+1
512, 3.719E+1
513, 3.719E+1
514, 3.719E+1
515, 3.709E+1
516, 3.719E+1
517, 3.719E+1
518, 3.709E+1
519, 3.719E+1
520, 3.719E+1
521, 3.719E+1
522, 3.719E+1
523, 3.719E+1
524, 3.719E+1
525, 3.719E+1
526, 3.719E+1
527, 3.719E+1
528, 3.719E+1
529, 3.719E+1
530, 3.719E+1
531, 3.719E+1
532, 3.719E+1
533, 3.719E+1
534, 3.719E+1
535, 3.719E+1
536, 3.719E+1
537, 3.719E+1
538, 3.719E+1
539, 3.719E+1
540, 3.719E+1
541, 3.719E+1
542, 3.779E+1
543, 3.739E+1
544, 3.739E+1
545, 3.739E+1
546, 3.739E+1
547, 3.739E+1
548, 3.739E+1
549, 3.679E+1
550, 3.739E+1
551, 3.719E+1
552, 3.659E+1
553, 3.719E+1
554, 3.719E+1
555, 3.719E+1
556, 3.719E+1
557, 3.719E+1
558, 3.719E+1
559, 3.719E+1
560, 3.719E+1
561, 3.719E+1
562, 3.719E+1
563, 3.719E+1
564, 3.719E+1
565, 3.719E+1
566, 3.739E+1
567, 3.739E+1
568, 3.739E+1
569, 3.719E+1
570, 3.719E+1
571, 3.719E+1
572, 3.739E+1
573, 3.739E+1
574, 3.739E+1
575, 3.739E+1
576, 3.739E+1
577, 3.739E+1
578, 3.679E+1
579, 3.739E+1
580, 3.719E+1
581, 3.719E+1
582, 3.719E+1
583, 3.739E+1
584, 3.719E+1
585, 3.719E+1
586, 3.719E+1
587, 3.719E+1
588, 3.719E+1
589, 3.719E+1
590, 3.779E+1
591, 3.719E+1
592, 3.739E+1
593, 3.719E+1
594, 3.719E+1
595, 3.719E+1
596, 3.719E+1
597, 3.779E+1
598, 3.719E+1
599, 3.719E+1
600, 3.719E+1
601, 3.719E+1
602, 3.719E+1
603, 3.779E+1
604, 3.719E+1
605, 3.739E+1
606, 3.739E+1
607, 3.739E+1
608, 3.739E+1
609, 3.719E+1
610, 3.719E+1
611, 3.719E+1
612, 3.719E+1
613, 3.719E+1
614, 3.719E+1
615, 3.719E+1
616, 3.719E+1
617, 3.719E+1
618, 3.719E+1
619, 3.719E+1
620, 3.719E+1
621, 3.719E+1
622, 3.719E+1
623, 3.719E+1
624, 3.779E+1
625, 3.719E+1
626, 3.719E+1
627, 3.739E+1
628, 3.739E+1
629, 3.739E+1
630, 3.719E+1
631, 3.739E+1
632, 3.739E+1
633, 3.739E+1
634, 3.739E+1
635, 3.739E+1
636, 3.739E+1
637, 3.739E+1
638, 3.739E+1
639, 3.739E+1
640, 3.739E+1
641, 3.739E+1
642, 3.739E+1
643, 3.719E+1
644, 3.719E+1
645, 3.739E+1
646, 3.739E+1
647, 3.739E+1
648, 3.739E+1
649, 3.739E+1
650, 3.739E+1
651, 3.739E+1
652, 3.739E+1
653, 3.739E+1
654, 3.739E+1
655, 3.739E+1
656, 3.739E+1
657, 3.739E+1
658, 3.739E+1
659, 3.739E+1
660, 3.739E+1
661, 3.739E+1
662, 3.739E+1
663, 3.739E+1
664, 3.739E+1
665, 3.739E+1
666, 3.739E+1
667, 3.739E+1
668, 3.739E+1
669, 3.739E+1
670, 3.739E+1
671, 3.739E+1
672, 3.739E+1
673, 3.739E+1
674, 3.739E+1
675, 3.739E+1
676, 3.739E+1
677, 3.739E+1
678, 3.739E+1
679, 3.739E+1
680, 3.739E+1
681, 3.739E+1
682, 3.739E+1
683, 3.739E+1
684, 3.739E+1
685, 3.739E+1
686, 3.739E+1
687, 3.739E+1
688, 3.739E+1
689, 3.739E+1
690, 3.679E+1
691, 3.739E+1
692, 3.719E+1
693, 3.719E+1
694, 3.739E+1
695, 3.739E+1
696, 3.739E+1
697, 3.739E+1
698, 3.739E+1
699, 3.739E+1
700, 3.739E+1
701, 3.719E+1
702, 3.739E+1
703, 3.739E+1
704, 3.719E+1
705, 3.739E+1
706, 3.739E+1
707, 3.719E+1
708, 3.719E+1
709, 3.719E+1
710, 3.719E+1
711, 3.719E+1
712, 3.719E+1
713, 3.779E+1
714, 3.719E+1
715, 3.719E+1
716, 3.739E+1
717, 3.719E+1
718, 3.739E+1
719, 3.739E+1
720, 3.739E+1
721, 3.739E+1
722, 3.739E+1
723, 3.739E+1
724, 3.739E+1
725, 3.739E+1
726, 3.739E+1
727, 3.739E+1
728, 3.739E+1
